Confirmed,Country,Date,Deaths,Recovered
0.0,Hong Kong,01-22-2020,0.0,0.0
2.0,Japan,01-22-2020,0.0,0.0
1.0,Macau,01-22-2020,0.0,0.0
547.0,China,01-22-2020,17.0,28.0
1.0,South Korea,01-22-2020,0.0,0.0
1.0,Taiwan,01-22-2020,0.0,0.0
2.0,Thailand,01-22-2020,0.0,0.0
1.0,United States,01-22-2020,0.0,0.0
0.0,Australia,01-23-2020,0.0,0.0
0.0,Brazil,01-23-2020,0.0,0.0
0.0,Colombia,01-23-2020,0.0,0.0
2.0,Hong Kong,01-23-2020,0.0,0.0
1.0,Japan,01-23-2020,0.0,0.0
2.0,Macau,01-23-2020,0.0,0.0
639.0,China,01-23-2020,18.0,30.0
0.0,Malaysia,01-23-2020,0.0,0.0
0.0,Mexico,01-23-2020,0.0,0.0
0.0,Philippines,01-23-2020,0.0,0.0
1.0,Singapore,01-23-2020,0.0,0.0
1.0,South Korea,01-23-2020,0.0,0.0
1.0,Taiwan,01-23-2020,0.0,0.0
3.0,Thailand,01-23-2020,0.0,0.0
1.0,United States,01-23-2020,0.0,0.0
2.0,Vietnam,01-23-2020,0.0,0.0
2.0,France,01-24-2020,0.0,0.0
2.0,Hong Kong,01-24-2020,0.0,0.0
2.0,Japan,01-24-2020,0.0,0.0
2.0,Macau,01-24-2020,0.0,0.0
916.0,China,01-24-2020,26.0,36.0
3.0,Singapore,01-24-2020,0.0,0.0
2.0,South Korea,01-24-2020,0.0,0.0
3.0,Taiwan,01-24-2020,0.0,0.0
5.0,Thailand,01-24-2020,0.0,0.0
2.0,United States,01-24-2020,0.0,0.0
2.0,Vietnam,01-24-2020,0.0,0.0
4.0,Australia,01-25-2020,0.0,0.0
3.0,France,01-25-2020,0.0,0.0
5.0,Hong Kong,01-25-2020,0.0,0.0
2.0,Japan,01-25-2020,0.0,0.0
2.0,Macau,01-25-2020,0.0,0.0
1399.0,China,01-25-2020,42.0,39.0
3.0,Malaysia,01-25-2020,0.0,0.0
1.0,Nepal,01-25-2020,0.0,0.0
