Date,Country,Event
01-02-2020,Australia,"Australia reported another three cases, including the first two cases in South Australia, bringing their total to 12."
01-02-2020,Japan,"Japan reported three more cases, increasing their total to 20."
01-02-2020,Singapore,"Singapore confirms two more cases, bringing the total to 18."
01-02-2020,Japan,South Korea confirmed the twelfth case of the coronavirus: a 49-year-old Chinese man who works as a Japanese tour guide in western Seoul.
01-02-2020,Spain,Spain confirmed its first case of the virus on La Gomera in the Canaries.
01-02-2020,United States,"The United States of America reported its eighth case, a man from Boston who recently returned to college after traveling to Wuhan."
02-02-2020,India,India announced its second case.
02-02-2020,China,"Philippines, saw the first confirmed death from COVID-19 outside mainland China announced. The case was that of a 44-year-old male who was the companion of the first confirmed case in the country; both are Chinese nationals from Wuhan who had arrived in the country via Hong Kong on 21 January. He had been in stable condition prior to his death on 1 February."
02-02-2020,United Arab Emirates,United Arab Emirates reported its fifth case.
02-02-2020,United States,"The United States of America, confirmed three more cases, all in California, bringing the total to 11."
03-02-2020,India,India confirmed its third case in Kerala.
04-02-2020,Belgium,"Belgium confirmed its first case, bringing the total in the European Union to 24."
04-02-2020,Hong Kong,"Hong Kong confirmed its first death from a 39-year-old patient, the thirteenth confirmed case in the city."
04-02-2020,Malaysia,"Malaysia confirmed two more COVID-19 cases, which included a Malaysian citizen, bringing the total to 10 cases."
04-02-2020,Singapore,"Singapore confirmed six more cases, including the first locally transmitted cases involving four, bringing the total to 24. 2 others came from an evacuation plane from Wuhan."
04-02-2020,Thailand,"South Korea confirmed its 16th COVID-19 case after a tourist returned from Thailand, the first to have been infected there."
04-02-2020,Thailand,"Thailand confirmed six more cases, bringing the total to 25."
05-02-2020,China,"China, in Wuhan now reported 10,117 cases in total, exceeding 10,000."
05-02-2020,Hong Kong,"Hong Kong confirmed three more cases, bringing the total to 21."
05-02-2020,Japan,"Japan confirmed 10 new cases from the quarantined cruise ship Diamond Princess, near Yokohama, bringing the total number up to 35 cases. There were more than 3,500 on board to be tested."
05-02-2020,Malaysia,"Malaysia announced two more cases, bringing the total cases to 12."
05-02-2020,China,"Philippines confirmed its third positive case, a 60-year-old woman from Wuhan, China."
05-02-2020,Singapore,"Singapore confirmed four more cases, including a six-month-old Singaporean, bringing the total cases to 28."
05-02-2020,Singapore,"South Korea confirmed two more cases of COVID-19, including a patient who returned from Singapore. That brought the total number of cases to 18."
05-02-2020,United States,"The United States of America, saw Health officials in the state of Wisconsin announce the first case in that state."
06-02-2020,Canada,Canada announced 2 presumptive cases in British Columbia.
06-02-2020,China,"China, In Zhejiang over 1,000 cases were confirmed, the first such province besides Hubei."
06-02-2020,Germany,"Germany confirmed its thirteenth case, and Italy confirmed its third, bringing the total number of confirmed cases in Europe to 31."
06-02-2020,Hong Kong,"Hong Kong confirmed three more cases, bringing the total to 24."
06-02-2020,Japan,"Japan confirmed another 10 new cases from Diamond Princess, quarantined in Yokohama, bringing the total to 45."
06-02-2020,Malaysia,"Malaysia confirmed two more cases, bringing the total to 14. One of the cases was locally transmitted, the first in Malaysia."
06-02-2020,Singapore,"Singapore confirmed two more cases, bringing the total to 30."
